case_name,object_name,image_prompt,motion_mode,motion_direction,force_direction,force_strength,gravity,initial_velocity,seed,sim_output_dir,vgen_prompt,eval_degradation,simulated_frames_num,estimated_real_size
ball_toss,tennis_ball,"A bright green tennis ball mid-air against a clear blue sky, with a grassy field and distant trees in soft focus.",constant_acceleration,0 1 0,0 1 0,0,-9.8,0 0 0 0 0 0,123456,000,A tennis ball is thrown straight up and is caught at the top of its arc.,0.5,100,6cm
sled_descend,sled,"A red wooden sled glides down a snow-covered incline on a quiet winter day, with evergreen trees in the background and soft sunlight casting long shadows.",constant_acceleration,0 0 -1,0 0 -1,10,-9.8,0 0 0 0 0 0,42,000,A sled accelerates down a snowy hill with increasing speed under the force of gravity and a push from behind.,0.5,100,1.2m
ramp_slide,wooden block,"A smooth wooden block resting at the top of a metal incline ramp in a well-lit garage, with a blurred background of tools and workbenches.",constant_acceleration,0 0.707 0.707,0 0.707 0.707,0,-9.8,0 0 0 0 0 0,123456,000,"A wooden block accelerates down a metal ramp, gliding smoothly with increasing speed.",0.5,100,12cm
coastal_sand_dune,sailboarder,"A sailboarder glides down a sunlit coastal sand dune with a small wind-powered board, sand particles kicked up around the board, clear blue sky in the background.",constant_acceleration,0 0 -1,0 0 -1,12,0,0 0 0 0 0 0,42,000,A sailboarder accelerates down a dune as wind propels the board forward.,0.5,72,1.2m
honey_glass_tilt,glass of honey,"A clear glass filled with thick golden honey resting on a wooden table, slightly tilted to show the viscous flow of honey near the rim, with soft natural light from a window.",constant_acceleration,0 0 -1,0 0 -1,0.01,0,0 0 0 0 0 0,42,000,"A glass of honey tilting slowly, its surface curving as the thick liquid begins to pour out with slow, smooth motion.",0.5,72,12cm
raining_bowling_ball,bowling_ball,"A polished black bowling ball rolling smoothly on a wet lane under dim bar lights, with water droplets glistening on the surface.",constant_velocity,0 0 1,,0,0,0 0 2.5 0 0 0,123456,000,"A bowling ball glides forward at steady speed on a wet lane, leaving a trail of ripples in the water.",0.5,48,22cm
kite_fly,kite,"A bright red kite with a long tail soars high in a clear blue sky, tethered by a thin string against a backdrop of distant green trees and a calm lake.",constant_acceleration,0 0 1,0 0 1,0.3,-9.8,0 0 0 0 0 0,42,000,"A red kite accelerates upward on a gentle wind, its string taut and its tail streaming behind.",0.5,72,1.2m
wet_sled_push,sled,"A child pushing a wet wooden sled down a snow-dusted hill on a cold winter day, with trees in the background and sunlight glinting off the ice.",constant_acceleration,0 0 -1,0 0 -1,12,-9.8,0 0 0 0 0 0,42,000,A wet sled accelerates down a snowy hill as a child pushes it forward.,0.5,72,1.2m
saw_blade_spin,saw blade,"A close-up of a rusty metal saw blade mounted on a wooden workbench, with sawdust scattered around, under bright workshop lighting.",constant_acceleration,0 0 1,0 0 1,0.3,0,0 0 0 0 0 0,42,000,"A saw blade begins spinning rapidly in a forward direction, leaving a motion blur trail.",0.5,72,15cm
hovering_rocket,rocket,A small model rocket hovering mid-air over a grassy field with a clear blue sky in the background.,constant_velocity,0 0 1,,0,0,0 0 10 0 0 0,1000000000,000,A rocket glides smoothly forward at a steady speed in open air.,0.5,100,1.2m
magnets_repel,magnetic balls,"Two steel balls on a glass table, repelling each other with visible magnetic field lines in a dimly lit lab.",constant_acceleration,0 0 1,0 0 1,0.3,0,0 0 0 0 0 0,11,000,Two magnetic balls accelerate away from each other along a straight line on a table.,0.5,72,4cm
tire_roll,tire,"A large black rubber tire rolling on a smooth concrete road under clear daylight, with a slight shadow cast beneath it.",constant_velocity,0 0 1,,0,0,0 0 2.5 0 0 0,123456,000,A tire rolling forward at a steady speed on a flat road.,0.5,48,1.2m
saw_tooth_rail,metal_crate,"A heavy metal crate rolling down a steep, serrated metal rail in a dimly lit industrial workshop with steel beams overhead.",constant_acceleration,0 0 -1,0 0 -1,12.5,0,0 0 0 0 0 0,42,000,"A metal crate accelerates down a sharp, toothed metal track in a factory setting.",0.5,72,1.2m
saw_blade_spin_14,saw_blade,"A high-speed circular saw blade spinning rapidly in a well-lit workshop, with wood shavings flying outward and a safety guard partially visible.",constant_acceleration,0 0 1,0 0 0.5,0,0,0 0 0 0 0 0,14,000,"A saw blade accelerates and spins at high speed, creating a blur of motion and wood shavings.",0.5,100,12cm
sled_bump,sled,"A red plastic sled glides over a smooth ice rink with faint skid marks, under soft artificial lighting in a sports arena.",constant_acceleration,0 0 1,0 0 1,12,0,0 0 0 0 0 0,42,000,A sled accelerates forward on a flat ice surface as it's pushed from behind.,0.5,72,1.2m
wobbling_pendulum,pendulum bob,"A metal pendulum bob hanging from a wire, swaying slightly in a dimly lit lab with a wooden table and beakers in the background.",constant_acceleration,0 0 0,0 0 0.1,0.01,-9.8,0 0 0 0 0 0,16,000,A pendulum slowly swings back and forth under the influence of gravity and a small air resistance force.,0.5,100,15cm
golf_ball_roll,golf ball,"A golf ball rolling slowly on a sunlit green grass field with a slight incline, surrounded by trees in the background.",constant_acceleration,0 0.3 0,0 0.1 0,0.02,0,0 0.1 0 0 0 0,42,000,A golf ball accelerates forward as it rolls down a gentle grassy slope.,0.5,72,2.2cm
hovering_bubble,soap_bubble,"A soap bubble floating just above a smooth, wet concrete surface with droplets glistening in morning light.",constant_velocity,0 0 1,,0,0,0 0 0.1 0 0 0,42,000,"A soap bubble glides gently forward at a low, steady speed over a wet surface.",0.5,48,10cm
magnets_attract,magnetic_dropper,"A small metallic dropper suspended by a string above a flat surface, with a second identical dropper below, both attracting each other with visible magnetic field lines in a dimly lit lab setting.",constant_acceleration,0 0 1,0 0 1,0.2,0,0 0 0 0 0 0,42,000,"A dropper is pulled upward by a magnetic force from a second dropper below, accelerating towards it.",0.5,72,10cm
wind_sail_boat,sailboat,"A small wooden sailboat with a taut white sail glides across calm blue water under a clear sky, with gentle ripples around the hull.",constant_acceleration,0 0 1,0 0 1,0.3,0,0 0 0 0 0 0,42,000,A sailboat accelerates forward as its sail catches a steady breeze.,0.5,72,1.2m
hovering_magnets,magnetic levitation disc,"A flat disc floating stably above a base with repelling electromagnets, lit by cool blue LED lights in a dark lab environment.",constant_velocity,0 0 0,,0,0,0 0 0 0 0 0,42,000,"A disc hovers motionless over a magnetic array, perfectly balanced in place.",0.5,100,15cm
